latitude,longitude,playground_name,playground_id,suburb,postcode
-37.79788702,144.925942,Holland Park Playground,1,Kensington,3031
-37.82015371,144.9447608,Victoria Green Playground,2,Docklands,3008
-37.83879373,144.9850522,Fawkner Park North East,3,South Yarra,3141
-37.78122153,144.9621435,Princes Park North Playground,4,Carlton North,3054
-37.7966153,144.9206051,Mercantile Parade and Tankard Street Playground,5,Kensington,3031
-37.79356616,144.9400825,North Melbourne Community Centre Playground,6,North Melbourne,3051
-37.81814902,144.9712309,Birrarung Marr Artplay,7,Melbourne,3000
-37.79542805,144.9208833,Mercantile Parade and Newman Street Playground,8,Kensington,3031
-37.79831312,144.9212247,Holland Park Extreme Sports Precinct,9,Kensington,3031
-37.80209629,144.9706746,Carlton Gardens Playground,10,Carlton,3053
-37.81652273,144.933755,Ron Barassi Senior Park Playground,11,Docklands,3008
-37.79728503,144.9739867,Station Street Park Playground,12,Carlton,3053
-37.80876587,144.9447964,Hawke & Adderley Streets Playground,13,West Melbourne,3003
-37.80718322,144.951592,Eades Park Playground,14,West Melbourne,3003
-37.78509789,144.9420312,Manningham Street Playground,15,Parkville,3052
-37.82601063,144.9683531,Grant Street Playground,16,Southbank,3006
-37.82180099,144.9472275,Docklands Park Playground,17,Docklands,3008
-37.80284132,144.9626565,Lincoln Square Playground,18,Carlton,3053
-37.80952571,144.9547187,Flagstaff Gardens Playground,19,West Melbourne,3003
-37.79878859,144.9439384,Gardiner Reserve Playground,20,North Melbourne,3051
-37.82307176,144.9415831,Point Park Playground,21,Docklands,3008
-37.83903295,144.9804756,Fawkner Park Toddler Playspace,22,South Yarra,3141
-37.7952074,144.9697031,Neill Street Reserve,23,Carlton,3053
-37.79616818,144.9267598,Warun Biik Playground,24,Kensington,3031
-37.79652623,144.9527729,Ievers Reserve Playground,25,Carlton,3053
-37.81158138,144.9865706,Powlett Reserve Playground,26,East Melbourne,3002
-37.79980317,144.9414655,North Melbourne Recreation Reserve Play Court,27,North Melbourne,3051
-37.84066822,144.984029,Fawkner Park East,28,South Yarra,3141
-37.79319152,144.9324166,Robertson Street Park Playground,29,Kensington,3031
-37.79019168,144.9310811,Parsons Reserve Playground,30,Kensington,3031
-37.79883074,144.9403322,North Melbourne Recreation Reserve Multi Purpose Court,31,North Melbourne,3051
-37.81174494,144.9818268,Fitzroy Gardens Playground,32,East Melbourne,3002
-37.8220676,144.9365419,Wharfs Landing Park,33,Docklands,3008
-37.78903785,144.9284358,Kensington Hall Reserve Playground,34,Kensington,3031
-37.79630623,144.9728012,Canning and Palmerston Streets Playground,35,Carlton North,3054
-37.82049084,144.973027,Riverslide Skate Park,36,Melbourne,3000
-37.79525908,144.9307814,Bellair Street Reserve Playground,37,Kensington,3031
-37.82028512,144.9408831,Buluk Park Playground,38,Docklands,3008
-37.7853857,144.9627593,Princes Park South Playground,39,Carlton North,3054
-37.79504473,144.9517539,NaturePlay Playground Royal Park,40,Parkville,3052
-37.77958239,144.9397599,Galada Avenue Reserve Playground,41,Parkville,3052
-37.79377873,144.9235959,Bayswater Road Park Playground,42,Kensington,3031
-37.79465499,144.9191945,The Crescent Reserve Playground,43,Kensington,3031
-37.79003674,144.9256729,Liddy Street Reserve Playground,44,Kensington,3031
-37.826114,144.9616347,Boyd Community Hub,45,Southbank,3006
